Year,Rank_pre,Rank_post,Code
1994,3,1,BRA
1994,4,2,ITA
1994,10,3,SWE
1994,1,4,GER
1994,2,5,NED
1994,5,6,ESP
1994,7,7,ROU
1994,6,8,NOR
1994,8,9,ARG
1994,11,10,NGA
1994,12,11,SUI
1994,9,12,DEN
1994,14,13,IRL
1994,29,14,BUL
1994,16,15,MEX
1994,13,16,FRA
1994,17,17,COL
1994,15,18,ENG
1994,19,19,RUS
1994,27,20,BEL
1994,20,21,ZAM
1994,23,22,USA
1994,18,23,URU
1994,21,24,CIV
1994,22,25,POR
1994,25,26,EGY
1994,24,27,CMR
1994,26,28,GHA
1994,34,29,KSA
1994,28,30,MAR
1994,30,31,TUN
1994,31,34,GRE
1998,1,1,BRA
1998,18,2,FRA
1998,2,3,GER
1998,19,4,CRO
1998,6,5,ARG
1998,3,6,CZE
1998,8,7,YUG
1998,25,8,NED
1998,14,8,ITA
1998,5,10,ENG
1998,7,11,NOR
1998,4,12,MEX
1998,22,13,ROU
1998,15,14,ESP
1998,9,15,CHI
1998,13,16,MAR
1998,10,17,COL
1998,27,18,DEN
1998,11,19,USA
1998,17,20,EGY
1998,20,21,KOR
1998,12,22,JPN
1998,31,23,AUT
1998,23,24,ZAM
1998,21,25,TUN
1998,29,26,PAR
1998,24,27,RSA
1998,16,28,RUS
1998,30,29,JAM
1998,28,30,SWE
1998,36,31,BEL
1998,26,41,ECU
2002,2,1,BRA
2002,3,2,ARG
2002,1,3,FRA
2002,8,4,ESP
2002,11,5,GER
2002,7,6,MEX
2002,5,7,POR
2002,12,8,ENG
2002,4,9,COL
2002,6,10,ITA
2002,13,11,USA
2002,22,12,TUR
2002,20,13,DEN
2002,15,14,IRL
2002,9,15,NED
2002,10,16,YUG
2002,17,17,CMR
2002,18,18,PAR
2002,23,19,BEL
2002,19,20,SWE
2002,16,21,CZE
2002,40,22,KOR
2002,24,23,URU
2002,32,24,JPN
2002,14,25,ROU
2002,29,26,CRC
2002,21,27,CRO
2002,28,28,RUS
2002,27,29,NGA
2002,26,30,HON
2002,36,31,ECU
2002,30,33,IRN
2002,25,35,SVN
2002,31,36,TUN
2006,1,1,BRA
2006,13,2,ITA
2006,9,3,ARG
2006,8,4,FRA
2006,10,5,ENG
2006,3,6,NED
2006,5,7,ESP
2006,7,8,POR
2006,19,9,GER
2006,2,10,CZE
2006,11,11,NGA
2006,15,12,CMR
2006,35,13,SUI
2006,22,14,URU
2006,45,15,UKR
2006,5,16,USA
2006,11,17,DEN
2006,4,18,MEX
2006,33,19,PAR
2006,32,20,CIV
2006,27,21,COL
2006,16,22,SWE
2006,23,23,CRO
2006,51,24,GUI
2006,48,25,GHA
2006,25,26,ROU
2006,14,27,TUR
2006,39,28,ECU
2006,17,29,EGY
2006,29,30,POL
2006,21,31,TUN
2006,20,32,GRE
2006,28,35,SEN
2006,31,39,IRL
2006,26,45,CRC
2006,23,47,IRN
2006,18,49,JPN
2006,29,56,KOR
2010,2,1,ESP
2010,4,2,NED
2010,1,3,BRA
2010,6,4,GER
2010,7,5,ARG
2010,16,6,URU
2010,8,7,ENG
2010,3,8,POR
2010,12,9,EGY
2010,18,10,CHI
2010,5,11,ITA
2010,13,12,GRE
2010,14,13,USA
2010,15,13,SRB
2010,10,15,CRO
2010,31,16,PAR
2010,11,17,RUS
2010,24,18,SUI
2010,25,19,SVN
2010,20,20,AUS
2010,9,21,FRA
2010,22,22,NOR
2010,32,23,GHA
2010,17,24,MEX
2010,23,25,UKR
2010,27,26,CIV
2010,34,27,SVK
2010,29,28,TUR
2010,36,29,DEN
2010,21,30,NGA
2010,33,31,CZE
2010,30,33,ALG
2010,26,37,ISR
2010,19,40,CMR
2010,28,42,ROU
2014,2,1,GER
2014,5,2,ARG
2014,15,3,NED
2014,8,4,COL
2014,11,5,BEL
2014,7,6,URU
2014,3,7,BRA
2014,1,8,ESP
2014,6,9,SUI
2014,17,10,FRA
2014,4,11,POR
2014,14,12,CHI
2014,12,13,GRE
2014,9,14,ITA
2014,13,15,USA
2014,28,16,CRC
2014,18,17,CRO
2014,20,18,MEX
2014,21,19,BIH
2014,10,20,ENG
2014,26,21,ECU
2014,16,22,UKR
2014,19,23,RUS
2014,22,24,ALG
2014,23,25,CIV
2014,23,26,DEN
2014,27,27,SCO
2014,29,28,ROU
2014,32,29,SWE
2014,40,30,VEN
2014,30,31,SRB
2014,31,33,PAN
2014,25,37,SVN
2018,1,1,GER
2018,2,2,BRA
2018,3,3,POR
2018,4,4,ARG
2018,5,5,BEL
2018,6,6,POL
2018,6,6,ESP
2018,8,8,SUI
2018,9,9,FRA
2018,10,10,CHI
2018,11,11,PER
2018,12,12,DEN
2018,13,13,COL
2018,14,14,ITA
2018,15,15,CRO
2018,16,16,ENG
2018,17,17,MEX
2018,18,18,ISL
2018,19,19,SWE
2018,20,20,WAL
2018,21,21,NED
2018,22,22,URU
2018,23,23,TUN
2018,24,24,NIR
2018,25,25,USA
2018,26,26,CRC
2018,27,27,SEN
2018,28,28,AUT
2018,29,29,SVK
2018,30,31,PAR
2018,31,31,IRL
2018,32,32,SCO
